!  Sample measurement started  22-Aug-2025    18:06:22
!
!  Exposure time slow/fast (sec)  0.1  / 0.1
!  Thresholds 1/2/end   73000  74000  1300000
!
!-------------------------------------------------------------------------------------------------------------
!  Time    Filename               Mode   Diode        IPetra   Nr 1   Temp 1   Expa 1   Nr 2   Temp 2   Expa 2
!
18:06:25   Gio_52100mod3_300_2h_1_1 1     1  slow   0     100.2562  unknown  unknown  unknown unknown  unknown  unknown
18:06:30   Gio_52100mod3_300_2h_1_1 2     1  slow   0     100.1632  unknown  unknown  unknown unknown  unknown  unknown
18:06:35   Gio_52100mod3_300_2h_1_1 3     1  slow   0     100.0665  unknown  unknown  unknown unknown  unknown  unknown
18:06:41   Gio_52100mod3_300_2h_1_1 4     1  slow   0     99.9741  unknown  unknown  unknown unknown  unknown  unknown
18:06:46   Gio_52100mod3_300_2h_1_1 5     1  slow   0     100.8787  unknown  unknown  unknown unknown  unknown  unknown
18:06:51   Gio_52100mod3_300_2h_1_1 6     1  slow   0     100.7829  unknown  unknown  unknown unknown  unknown  unknown
18:06:56   Gio_52100mod3_300_2h_1_1 7     1  slow   0     100.6889  unknown  unknown  unknown unknown  unknown  unknown
18:07:01   Gio_52100mod3_300_2h_1_1 8     1  slow   0     100.59  6  23.37  -0.04 11  23.18  -0.02
18:07:06   Gio_52100mod3_300_2h_1_1 9     1  slow   0     100.4783  16  23.17  -0.02 21  23.39  -0.03
18:07:12   Gio_52100mod3_300_2h_1_1 10     1  slow   0     100.3854  26  23.33  -0.04 31  23.23  -0.02
18:07:17   Gio_52100mod3_300_2h_1_1 11     1  slow   0     100.2912  36  23.44  -0.01 41  23.47  -0.03
18:07:22   Gio_52100mod3_300_2h_1_1 12     1  slow   0     100.1939  47  23.20  -0.02 52  23.21  -0.04
18:07:27   Gio_52100mod3_300_2h_1_1 13     1  slow   0     100.0995  57  23.39  -0.05 62  23.43  -0.02
18:07:32   Gio_52100mod3_300_2h_1_1 14     1  slow   0     100.0073  67  23.27  -0.02 72  23.42  -0.02
18:07:37   Gio_52100mod3_300_2h_1_1 15     1  slow   0     100.5408  78  23.24  -0.05 83  23.34  -0.06
18:07:42   Gio_52100mod3_300_2h_1_1 16     1  slow   0     100.8579  88  23.43  -0.01 93  23.38  -0.05
18:07:48   Gio_52100mod3_300_2h_1_1 17     1  slow   0     100.758  98  23.36  -0.05 103  23.45  -0.03
18:07:53   Gio_52100mod3_300_2h_1_1 18     1  slow   0     100.6272  108  23.34  -0.04 113  23.36  -0.03
18:07:58   Gio_52100mod3_300_2h_1_1 19     1  slow   0     100.5324  119  24.77  0.08 171  44.51  2.58
18:08:02   Gio_52100mod3_300_2h_1_1 20     1  slow   0     100.4567  224  71.90  6.18 254  87.39  8.20
18:08:07   Gio_52100mod3_300_2h_1_1 21     1  slow   0     100.358  306  113.27  11.68 356  138.41  15.10
18:08:12   Gio_52100mod3_300_2h_1_1 22     1  slow   0     100.2649  409  164.97  18.79 459  190.04  22.36
18:08:17   Gio_52100mod3_300_2h_1_1 23     1  slow   0     100.1705  511  215.89  26.13 561  241.02  29.77
18:08:22   Gio_52100mod3_300_2h_1_1 24     1  slow   0     100.0789  614  267.40  33.79 664  292.42  37.65
18:08:28   Gio_52100mod3_300_2h_1_1 25     1  slow   0     99.98668  717  319.04  41.77 767  344.00  45.71
18:08:33   Gio_52100mod3_300_2h_1_1 26     1  slow   0     100.9116  820  370.57  49.87 870  395.34  53.86
18:08:38   Gio_52100mod3_300_2h_1_1 27     1  slow   0     100.7977  923  421.90  58.06 973  446.93  62.07
18:08:43   Gio_52100mod3_300_2h_1_1 28     1  slow   0     100.7045  1026  473.49  66.38 1076  498.39  70.45
18:08:48   Gio_52100mod3_300_2h_1_1 29     1  slow   0     100.6094  1129  524.87  74.78 1179  549.87  78.86
18:08:53   Gio_52100mod3_300_2h_1_1 30     1  slow   0     100.5104  1232  576.46  83.30 1283  602.05  87.53
18:08:59   Gio_52100mod3_300_2h_1_1 31     1  slow   0     100.4173  1336  628.27  91.95 1385  652.57  96.07
18:09:04   Gio_52100mod3_300_2h_1_1 32     1  slow   0     100.3222  1439  679.83  100.64 1489  704.83  104.93
18:09:09   Gio_52100mod3_300_2h_1_1 33     1  slow   0     100.2291  1542  731.14  109.33 1591  752.81  113.71
18:09:14   Gio_52100mod3_300_2h_1_1 34     1  slow   0     100.1359  1644  781.29  118.59 1694  802.85  111.10
18:09:19   Gio_52100mod3_300_2h_1_1 35     1  slow   0     100.0213  1747  835.47  118.63 1797  859.33  125.66
18:09:24   Gio_52100mod3_300_2h_1_1 36     1  slow   0     100.4174  1850  885.59  133.49 1900  910.20  141.26
18:09:29   Gio_52100mod3_300_2h_1_1 37     1  slow   0     100.8027  1954  937.20  150.09 1998  959.16  157.09
18:09:35   Gio_52100mod3_300_2h_1_1 38     1  slow   0     100.7038  2000  961.92  158.24 2003  960.70  158.28
