Image;Time(s);Temperature(oC);Change_in_Length(micrometer);Force(N)
Gio_52100mod3_300_2h_1_1-00001;;;;
Gio_52100mod3_300_2h_1_1-00002;;;;
Gio_52100mod3_300_2h_1_1-00003;;;;
Gio_52100mod3_300_2h_1_1-00004;;;;
Gio_52100mod3_300_2h_1_1-00005;;;;
Gio_52100mod3_300_2h_1_1-00006;;;;
Gio_52100mod3_300_2h_1_1-00007;;;;
Gio_52100mod3_300_2h_1_1-00008;4.2511615;23.353545;-0.008077999999999998;-0.005859
Gio_52100mod3_300_2h_1_1-00009;9.251258;23.3202865;-0.0053855;-0.005859
Gio_52100mod3_300_2h_1_1-00010;14.251519;23.3025035;0.0121175;-0.005859
Gio_52100mod3_300_2h_1_1-00011;19.2505425;23.353579500000002;0.024235;-0.005859
Gio_52100mod3_300_2h_1_1-00012;24.750887;23.380125;0.004039500000000001;-0.005859
Gio_52100mod3_300_2h_1_1-00013;29.751156;23.358034;0.005386;-0.005859
Gio_52100mod3_300_2h_1_1-00014;34.751085;23.4075555;-0.005385500000000001;-0.005859
Gio_52100mod3_300_2h_1_1-00015;40.251861500000004;23.394265500000003;0.0;-0.005859
Gio_52100mod3_300_2h_1_1-00016;45.250994000000006;23.3372965;-0.0498165;-0.005859
Gio_52100mod3_300_2h_1_1-00017;50.250399;23.475558499999998;-0.017503499999999998;-0.005859
Gio_52100mod3_300_2h_1_1-00018;55.251486;23.470428499999997;-0.005385500000000001;-0.005859
Gio_52100mod3_300_2h_1_1-00019;60.80246;31.082842;0.848227;-0.005859
Gio_52100mod3_300_2h_1_1-00020;65.50264;79.668648;7.222044;-0.005859
Gio_52100mod3_300_2h_1_1-00021;70.102203;125.932137;13.415443;-0.005859
Gio_52100mod3_300_2h_1_1-00022;75.251343;177.440277;20.597095;-0.005859
Gio_52100mod3_300_2h_1_1-00023;80.352654;228.542877;27.978014;-0.005859
Gio_52100mod3_300_2h_1_1-00024;85.501862;279.878357;35.760155;-0.005859
Gio_52100mod3_300_2h_1_1-00025;90.651192;331.449768;43.763107;-0.005859
Gio_52100mod3_300_2h_1_1-00026;95.802826;382.949097;51.884541;-0.005859
Gio_52100mod3_300_2h_1_1-00027;100.952065;434.513458;60.110992;-0.005859
Gio_52100mod3_300_2h_1_1-00028;106.101456;485.894989;68.474777;-0.005859
Gio_52100mod3_300_2h_1_1-00029;111.252899;537.435364;76.841263;-0.005859
Gio_52100mod3_300_2h_1_1-00030;116.4270555;589.169586;85.392189;-0.005859
Gio_52100mod3_300_2h_1_1-00031;121.577236;640.6493224999999;94.0185165;-0.005859
Gio_52100mod3_300_2h_1_1-00032;126.753235;692.265259;102.802376;-0.005859
Gio_52100mod3_300_2h_1_1-00033;131.8771135;742.8220825000001;111.2577135;-0.005859
Gio_52100mod3_300_2h_1_1-00034;137.003113;790.91626;116.479019;-0.005859
Gio_52100mod3_300_2h_1_1-00035;142.152893;847.35907;122.14463;-0.005859
Gio_52100mod3_300_2h_1_1-00036;147.302338;897.885315;137.396545;-0.005859
Gio_52100mod3_300_2h_1_1-00037;152.351395;948.172974;153.682495;-0.005859
Gio_52100mod3_300_2h_1_1-00038;156.953644;961.1090395;158.26291650000002;-0.005859
Gio_52100mod3_300_2h_1_1-00039;162.453293;960.348267;158.408325;-0.005859
Gio_52100mod3_300_2h_1_1-00040;167.45462;960.031433;158.497192;-0.005859
Gio_52100mod3_300_2h_1_1-00041;172.453568;960.035461;158.564514;-0.005859
Gio_52100mod3_300_2h_1_1-00042;177.953194;960.089111;158.652031;-0.005859
Gio_52100mod3_300_2h_1_1-00043;182.95361350000002;960.0645139999999;158.693764;-0.005859
Gio_52100mod3_300_2h_1_1-00044;187.95365149999998;959.9567870000001;158.709923;-0.005859
Gio_52100mod3_300_2h_1_1-00045;193.452805;960.031433;158.715317;-0.005859
Gio_52100mod3_300_2h_1_1-00046;198.453629;959.940369;158.70723;-0.005859
Gio_52100mod3_300_2h_1_1-00047;203.454681;959.992249;158.715317;-0.005859
Gio_52100mod3_300_2h_1_1-00048;208.953392;960.069336;158.743584;-0.005859
Gio_52100mod3_300_2h_1_1-00049;213.9532855;960.0357365;158.668175;-0.005859
Gio_52100mod3_300_2h_1_1-00050;218.9533155;960.0294495;158.7153095;-0.005859
Gio_52100mod3_300_2h_1_1-00051;223.95358249999998;959.972992;158.685684;-0.005859
Gio_52100mod3_300_2h_1_1-00052;229.452881;960.045471;158.720703;-0.005859
Gio_52100mod3_300_2h_1_1-00053;234.453766;960.030212;158.669525;-0.005859
Gio_52100mod3_300_2h_1_1-00054;239.452881;960.031799;158.5672;-0.005859
Gio_52100mod3_300_2h_1_1-00055;244.9539185;960.016327;158.5699005;-0.005859
Gio_52100mod3_300_2h_1_1-00056;249.95359050000002;959.9476925;158.5470125;-0.005859
Gio_52100mod3_300_2h_1_1-00057;254.453156;960.128296;158.534897;-0.005859
Gio_52100mod3_300_2h_1_1-00058;259.454193;959.813049;158.50528;-0.005859
Gio_52100mod3_300_2h_1_1-00059;264.452972;959.958069;158.44603;-0.005859
Gio_52100mod3_300_2h_1_1-00060;269.454132;960.040222;158.424484;-0.005859
Gio_52100mod3_300_2h_1_1-00061;274.452972;959.994629;158.40564;-0.005859
Gio_52100mod3_300_2h_1_1-00062;279.9533385;959.9878235000001;158.33563249999997;-0.005859
Gio_52100mod3_300_2h_1_1-00063;284.95405600000004;960.050171;158.324852;-0.005859
Gio_52100mod3_300_2h_1_1-00064;289.953949;960.023926;158.28042599999998;-0.005859
Gio_52100mod3_300_2h_1_1-00065;295.453217;960.128052;158.257523;-0.005859
Gio_52100mod3_300_2h_1_1-00066;300.454529;960.020264;158.182144;-0.005859
Gio_52100mod3_300_2h_1_1-00067;305.453583;960.092957;158.149811;-0.005859
Gio_52100mod3_300_2h_1_1-00068;310.454498;960.124146;158.114838;-0.005859
Gio_52100mod3_300_2h_1_1-00069;315.954117;960.0412905000001;158.0986635;-0.005859
Gio_52100mod3_300_2h_1_1-00070;320.9536895;959.8888855;158.04211450000003;-0.005859
Gio_52100mod3_300_2h_1_1-00071;325.95352149999997;959.9932555;157.992302;-0.005859
Gio_52100mod3_300_2h_1_1-00072;331.453369;959.989258;157.955933;-0.005859
Gio_52100mod3_300_2h_1_1-00073;336.454468;960.037292;157.915543;-0.005859
Gio_52100mod3_300_2h_1_1-00074;341.4534;960.048706;157.840149;-0.005859
Gio_52100mod3_300_2h_1_1-00075;346.9537045;960.0648495;157.80649549999998;-0.005859
Gio_52100mod3_300_2h_1_1-00076;351.953461;959.9207455000001;157.766106;-0.005859
Gio_52100mod3_300_2h_1_1-00077;356.9534605;959.9768675;157.771492;-0.005859
Gio_52100mod3_300_2h_1_1-00078;361.9540405;959.9975585;157.74859600000002;-0.005859
Gio_52100mod3_300_2h_1_1-00079;367.453278;960.013245;157.689362;-0.005859
Gio_52100mod3_300_2h_1_1-00080;372.454315;959.936707;157.638199;-0.005859
Gio_52100mod3_300_2h_1_1-00081;377.453339;960.016785;157.562805;-0.005859
Gio_52100mod3_300_2h_1_1-00082;382.454529;960.109924;157.538559;-0.005859
Gio_52100mod3_300_2h_1_1-00083;387.9537355;959.956207;157.53452299999998;-0.005859
Gio_52100mod3_300_2h_1_1-00084;392.9539035;959.9654235;157.543953;-0.005859
Gio_52100mod3_300_2h_1_1-00085;397.95401000000004;959.9293825;157.448357;-0.005859
Gio_52100mod3_300_2h_1_1-00086;403.453583;960.013489;157.438919;-0.005859
