names,D,std_grain,rho,std,f_edge,f_screw,alpha
1,19610.60469874377,6.792935808735159e-09,1.2714027134382996e+16,1881867840737.3413,0.3510210962817608,0.6489789037182392,4e-08
2,21909.036088805286,2.3115811245734786e-07,1.5977808943967254e+16,89909819248172.64,0.418221072403389,0.581778927596611,5.0000000000000004e-08
3,27394.020320602012,7.987417813054099e-07,1.9250516961774732e+16,468017468699457.56,0.45600615853691906,0.5439938414630809,5.9000000000000006e-08
4,22283.12588125282,1.5828972579598436e-06,2.0232989928458996e+16,792951082572559.4,0.48083798702052716,0.5191620129794728,7.7e-08
5,19362.646716063748,2.6510966634215134e-06,2.0521280508067604e+16,1170448291612456.0,0.5006012233831231,0.4993987766168769,9.2e-08
6,24265.479913136696,2.5144357888809755e-06,2.111975476183008e+16,1431778366292290.8,0.5391501104269949,0.4608498895730051,8.700000000000001e-08
7,28969.040705457428,1.866209183968378e-06,2.0847549059766028e+16,1252295821341451.5,0.5552276560638697,0.4447723439361303,7.6e-08
8,32354.039684323296,1.3925726189492834e-06,1.9803234613312976e+16,991379624682882.2,0.5570201875887478,0.44297981241125217,6.600000000000001e-08
9,-259360.08635255575,-3.5107853886610493e-07,1.526274342541953e+16,1544178560756021.0,0.810260688539485,0.18973931146051504,3.3000000000000004e-08
10,6476.878407176745,7.121631851230083e-06,1.0672046499093462e+16,546953571665065.3,0.5342791707135823,0.46572082928641767,1.54e-07
11,2651.8021884533377,2.2010018161439547e-05,4032684721464100.5,261525045302055.8,0.25084348203763657,0.7491565179623634,2.61e-07
12,2989.867915429391,2.5725934725677202e-05,2520507647663906.0,215411396470389.22,0.5437084126661943,0.4562915873338057,2.21e-07
13,2730.528085706942,0.00020415385460768778,635834683234336.9,393827407590311.75,0.8246596487546701,0.17534035124532987,1.9400000000000002e-07
14,2943.993993920843,0.000212912002871494,137426052128409.83,95711390604483.08,0.006680565842943341,0.9933194341570567,1.23e-07
15,3374.7332149901194,1.1557150613783013e-05,55926210788848.61,2423612059641.2827,-0.7047266299872833,1.7047266299872832,8.2e-08
16,5523.984461837304,6.010907097609807e-06,97850442152801.8,3610046093063.1597,-0.4684422859587103,1.4684422859587103,3.7e-08
17,5513.201468171233,5.886292465795234e-06,75217605066173.27,2712206120295.867,-0.4188467136569898,1.4188467136569898,3.6000000000000005e-08
18,5670.934438148476,1.4477002889783755e-05,92196590401369.2,8410186728953.13,-0.4336576983758591,1.433657698375859,3.5e-08
19,6299.00947643756,4.321355194843531e-06,98373755947549.8,2975287723065.455,-0.334284107344079,1.334284107344079,3.0000000000000004e-08
20,6695.332698451202,3.7153244567237727e-06,121923725882716.94,3369881467783.057,-0.3653807508703515,1.3653807508703515,2.8000000000000003e-08
21,6252.73806355107,3.875847792068555e-06,91400756748593.81,2461184840656.2354,-0.3477715548003776,1.3477715548003775,3.0000000000000004e-08
