names,D,std_grain,rho,std,f_edge,f_screw,beta_prime,alpha
1,1325.992112722185,0.00018072302246775892,5056132020090047.0,1346264264188119.0,-0.2221322795071775,1.2221322795071776,5e-05,1.9e-07
2,2645.5759649878914,5.73154237310515e-06,114207438469180.66,1924170824730.5664,-0.4855886233498459,1.4855886233498459,2e-05,1.2000000000000002e-07
3,3298.8611069371323,2.7993237178135705e-06,947461344202218.2,9721564123435.852,-0.6783609611403973,1.6783609611403973,2e-05,1.1e-07
4,5062.690539701739,2.9948619011892548e-06,3682612680017498.0,62039989759235.33,-0.7105195022580741,1.7105195022580741,0.0,1e-07
5,5303.1975939798685,4.7683377560783276e-06,4169212270890584.5,117142993282666.73,-0.7178178334657279,1.717817833465728,0.0,1e-07
6,9255.376092967981,3.1209023682250047e-06,5718635211093222.0,183537215398757.72,-0.5373175139931788,1.537317513993179,0.0,7e-08
7,8913.023379113414,2.4009618776501122e-06,5062534953088224.0,120374871181824.0,-0.4146250826398683,1.4146250826398683,0.0,6.000000000000001e-08
8,5597.937738633621,4.264932691366302e-07,3067218769309385.5,8136591058928.799,-0.29122118814870723,1.2912211881487072,0.0,7e-08
9,1997.908282765358,0.0002594912254865832,955529518217495.8,550427118735692.6,0.5403783704563003,0.4596216295436997,9e-05,6.000000000000001e-08
10,1923.9042874661454,0.00012162732836352193,330759026544219.7,85997103797887.67,0.2057667907581097,0.7942332092418903,8e-05,1.4e-07
11,3398.947857032999,0.0003991175183352217,2357560765186471.0,3553576576826529.5,0.946223115861086,0.053776884138914016,0.0,1.8e-07
12,-4596.485856803456,-0.00038546624658385674,2.031048888475718e+16,3.9984360179855704e+16,1.7254882053133997,-0.7254882053133997,0.0,3.4000000000000003e-07
13,-3597.252890574572,-0.00038641246969346147,1.5905211895223804e+16,2.4565129217519508e+16,4.271991942819963,-3.2719919428199633,5e-05,4e-07
14,3603.6170012503553,0.00036204278018254463,2683324464301337.0,3889817261241089.0,1.836129544364147,-0.836129544364147,0.0,2.3e-07
